utc_date,host,desktop,mobile,tablet
2026-08-01,book.fijidash.com,20,0,0
2026-08-01,nadiairporttransfers.com,0,10,0
2026-08-02,book.fijidash.com,20,40,0
2026-08-02,nadiairporttransfers.com,50,30,0
2026-08-03,book.fijidash.com,10,0,0
2026-08-03,nadiairporttransfers.com,10,30,0
2026-08-04,nadiairporttransfers.com,30,10,0
2026-08-05,book.fijidash.com,10,0,0
2026-08-05,nadiairporttransfers.com,20,20,0
2026-08-06,book.fijidash.com,10,0,0
2026-08-06,nadiairporttransfers.com,20,60,0
2026-08-07,book.fijidash.com,10,0,0
2026-08-07,nadiairporttransfers.com,20,50,0
2026-08-08,nadiairporttransfers.com,20,10,0
2026-08-09,book.fijidash.com,20,0,0
2026-08-09,nadiairporttransfers.com,20,10,0
2026-08-10,book.fijidash.com,10,20,0
2026-08-10,nadiairporttransfers.com,30,40,0
2026-08-11,nadiairporttransfers.com,0,10,0
2026-08-12,nadiairporttransfers.com,20,40,0
2026-08-13,nadiairporttransfers.com,20,70,0
2026-08-14,nadiairporttransfers.com,20,30,0
2026-08-15,book.fijidash.com,10,0,0
2026-08-15,nadiairporttransfers.com,0,30,0
2026-08-16,nadiairporttransfers.com,20,20,0
2026-08-17,nadiairporttransfers.com,0,70,10
2026-08-18,nadiairporttransfers.com,30,20,10
2026-08-19,nadiairporttransfers.com,20,10,0
2026-08-20,nadiairporttransfers.com,30,30,0
2026-08-21,nadiairporttransfers.com,0,50,0
2026-08-22,nadiairporttransfers.com,0,20,0
2026-08-23,book.fijidash.com,0,20,0
2026-08-23,nadiairporttransfers.com,10,10,0
2026-08-24,book.fijidash.com,0,20,0
2026-08-24,nadiairporttransfers.com,10,60,0
2026-08-25,nadiairporttransfers.com,0,40,0
2026-08-26,book.fijidash.com,10,0,0
2026-08-26,nadiairporttransfers.com,0,30,0
2026-08-27,book.fijidash.com,10,10,0
2026-08-27,nadiairporttransfers.com,0,20,0
2026-08-28,book.fijidash.com,10,0,0
2026-08-28,nadiairporttransfers.com,30,70,0
2026-08-29,book.fijidash.com,20,20,0
2026-08-29,nadiairporttransfers.com,10,20,0
2026-08-30,book.fijidash.com,20,20,10
2026-08-30,nadiairporttransfers.com,0,50,0
2026-08-31,book.fijidash.com,0,10,0
2026-08-31,nadiairporttransfers.com,10,30,0
2026-09-01,book.fijidash.com,10,20,10
2026-09-01,nadiairporttransfers.com,10,30,0
2026-09-02,book.fijidash.com,10,10,0
2026-09-02,nadiairporttransfers.com,10,50,0
2026-09-03,book.fijidash.com,10,0,0
2026-09-03,nadiairporttransfers.com,0,10,0
2026-09-04,nadiairporttransfers.com,20,10,0
2026-09-05,book.fijidash.com,20,10,0
2026-09-05,nadiairporttransfers.com,0,10,0
2026-09-06,book.fijidash.com,60,20,0
2026-09-06,nadiairporttransfers.com,10,20,0
2026-09-07,book.fijidash.com,0,20,0
2026-09-07,nadiairporttransfers.com,20,20,0
2026-09-08,book.fijidash.com,10,10,0
2026-09-08,nadiairporttransfers.com,10,10,0
2026-09-09,book.fijidash.com,0,10,0
2026-09-09,nadiairporttransfers.com,10,50,0
2026-09-10,book.fijidash.com,20,0,0
2026-09-10,nadiairporttransfers.com,20,20,0
2026-09-11,book.fijidash.com,30,10,0
2026-09-11,nadiairporttransfers.com,10,10,0
2026-09-12,book.fijidash.com,0,10,0
2026-09-12,nadiairporttransfers.com,10,10,0
2026-09-13,book.fijidash.com,40,0,0
2026-09-13,nadiairporttransfers.com,80,40,0
2026-09-14,book.fijidash.com,0,40,0
2026-09-14,nadiairporttransfers.com,10,20,0
2026-09-15,book.fijidash.com,70,30,0
2026-09-15,nadiairporttransfers.com,70,20,0
2026-09-16,book.fijidash.com,10,30,0
2026-09-16,nadiairporttransfers.com,40,40,0
2026-09-17,book.fijidash.com,10,10,0
2026-09-17,nadiairporttransfers.com,50,10,0
2026-09-18,nadiairporttransfers.com,10,30,0
2026-09-19,book.fijidash.com,0,10,0
2026-09-19,nadiairporttransfers.com,30,10,0
2026-09-20,nadiairporttransfers.com,10,10,0
