utc_date,requests_all,pageviews_all,uniques_all_traffic_incl_bots
2026-08-01,7288,341,227
2026-08-02,5260,533,263
2026-08-03,712,450,323
2026-08-04,870,536,370
2026-08-05,670,431,223
2026-08-06,948,418,273
2026-08-07,773,421,259
2026-08-08,455,261,184
2026-08-09,2484,945,231
2026-08-10,734,445,257
2026-08-11,851,673,235
2026-08-12,873,538,333
2026-08-13,1281,962,280
2026-08-14,653,418,237
2026-08-15,661,420,264
2026-08-16,701,426,243
2026-08-17,737,441,278
2026-08-18,775,490,345
2026-08-19,2613,2178,293
2026-08-20,1496,573,334
2026-08-21,1056,797,229
2026-08-22,3644,2238,251
2026-08-23,1314,974,281
2026-08-24,4458,3895,298
2026-08-25,808,482,298
2026-08-26,4311,2875,289
2026-08-27,1133,729,303
2026-08-28,4476,3702,256
2026-08-29,4464,3872,270
2026-08-30,1327,1015,275
2026-08-31,769,517,266
2026-09-01,4678,3887,335
2026-09-02,2778,1304,377
2026-09-03,1292,811,389
2026-09-04,3859,1965,314
2026-09-05,845,553,291
2026-09-06,1942,1392,306
2026-09-07,1426,769,307
2026-09-08,1541,1059,336
2026-09-09,1185,745,307
2026-09-10,1031,639,326
2026-09-11,1406,1123,299
2026-09-12,1513,1189,291
2026-09-13,2377,1631,404
2026-09-14,4186,2966,400
2026-09-15,1336,1054,299
2026-09-16,2576,2021,313
2026-09-17,2702,1408,288
2026-09-18,1829,1187,290
2026-09-19,2727,1724,306
2026-09-20,1537,984,230
