day_fiji,storefront,saved_requests_raw,duplicates_dropped,saved_requests_dedup,human_confirmed_bookings,completed_trips,cancelled_bookings,system_status_completed,system_status_pending,system_driver_assigned,quoted_value_fjd_dedup,collected_revenue_fjd
2026-07-24,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-24,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-24,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-24,NO_REF_UNATTRIBUTED,1,0,1,UNKNOWN,UNKNOWN,UNKNOWN,1,0,1,76.0,UNKNOWN
2026-07-25,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-25,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-25,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-25,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-26,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-26,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-26,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-26,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-27,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-27,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-27,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-27,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-28,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-28,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-28,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-28,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-29,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-29,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-29,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-29,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-30,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-30,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-30,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-30,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-31,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-31,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-31,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-07-31,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-01,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-01,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-01,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-01,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-02,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-02,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-02,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-02,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-03,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-03,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-03,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-03,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-04,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-04,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-04,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-04,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-05,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-05,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-05,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-05,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-06,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-06,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-06,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-06,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-07,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-07,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-07,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-07,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-08,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-08,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-08,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-08,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-09,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-09,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-09,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-09,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-10,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-10,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-10,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-10,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-11,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-11,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-11,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-11,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-12,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-12,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-12,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-12,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
