day_utc,NADI_rum_pageloads_sampled,NADI_zone_uniques_all_traffic,NADI_booking_starts,NADI_save_attempts,"NADI_saved_requests_FTT(nontest,dedup)","NADI_operator_alert_provider_accepted(WhatsApp 200+wamid; =saved, 71/71 since 2026-09-06; NOT proof James/staff saw it)",NADI_guest_confirmation,NADI_completed,FD_rum_pageloads_sampled,FD_booking_page_view_sessions,FD_route_selected_sessions,FD_vehicle_selected_sessions,FD_details_opened_sessions,FD_confirm_clicked_sessions,FD_post_started_sessions,FD_post_succeeded_sessions,FD_post_failed_sessions,"FD_saved_requests_FD(nontest,dedup)",FD_operator_alert_provider_accepted(same rule),FD_guest_confirmation,FD_completed,BFT_all_stages
2026-09-08,20,336,UNKNOWN,UNKNOWN,3,3,UNKNOWN,UNKNOWN,20,0,0,0,0,0,0,0,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN
2026-09-09,60,307,UNKNOWN,UNKNOWN,9,9,UNKNOWN,UNKNOWN,10,2,0,0,0,0,0,0,0,2,2,UNKNOWN,UNKNOWN,UNKNOWN
2026-09-10,40,326,UNKNOWN,UNKNOWN,5,5,UNKNOWN,UNKNOWN,20,23,15,11,3,3,2,2,0,3,3,UNKNOWN,UNKNOWN,UNKNOWN
2026-09-11,20,299,UNKNOWN,UNKNOWN,1,1,UNKNOWN,UNKNOWN,40,36,16,14,2,4,4,4,1,1,1,UNKNOWN,UNKNOWN,UNKNOWN
2026-09-12,20,291,UNKNOWN,UNKNOWN,2,2,UNKNOWN,UNKNOWN,10,25,11,10,2,1,1,1,0,1,1,UNKNOWN,UNKNOWN,UNKNOWN
2026-09-13,120,404,UNKNOWN,UNKNOWN,5,5,UNKNOWN,UNKNOWN,40,39,16,24,16,8,7,7,0,1,1,UNKNOWN,UNKNOWN,UNKNOWN
2026-09-14,30,400,UNKNOWN,UNKNOWN,3,3,UNKNOWN,UNKNOWN,40,19,11,11,6,2,2,2,0,2,2,UNKNOWN,UNKNOWN,UNKNOWN
2026-09-15,90,299,UNKNOWN,UNKNOWN,3,3,UNKNOWN,UNKNOWN,100,19,11,10,2,1,1,1,0,1,1,UNKNOWN,UNKNOWN,UNKNOWN
2026-09-16,80,313,UNKNOWN,UNKNOWN,2,2,UNKNOWN,UNKNOWN,40,45,30,31,11,10,9,9,0,4,4,UNKNOWN,UNKNOWN,UNKNOWN
2026-09-17,60,288,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,20,15,5,5,2,2,2,2,0,1,1,UNKNOWN,UNKNOWN,UNKNOWN
2026-09-18,40,290,UNKNOWN,UNKNOWN,5,5,UNKNOWN,UNKNOWN,0,11,5,5,1,1,1,1,0,1,1,UNKNOWN,UNKNOWN,UNKNOWN
2026-09-19,40,306,UNKNOWN,UNKNOWN,3,3,UNKNOWN,UNKNOWN,10,11,7,7,3,2,2,2,0,3,3,UNKNOWN,UNKNOWN,UNKNOWN
2026-09-20,20,230,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,0,6,3,3,1,1,1,1,1,1,1,UNKNOWN,UNKNOWN,UNKNOWN
