day_fiji,nadi_onsite_dedup,fijidash_nadi_handoff_dedup,nadi_combined_dedup_no_overlap,quoted_value_fjd_combined
2026-07-24,0,0,0,0
2026-07-25,0,0,0,0
2026-07-26,0,0,0,0
2026-07-27,0,0,0,0
2026-07-28,0,0,0,0
2026-07-29,0,0,0,0
2026-07-30,0,0,0,0
2026-07-31,0,0,0,0
2026-08-01,0,0,0,0
2026-08-02,0,0,0,0
2026-08-03,0,0,0,0
2026-08-04,0,0,0,0
2026-08-05,0,0,0,0
2026-08-06,0,0,0,0
2026-08-07,0,0,0,0
2026-08-08,0,0,0,0
2026-08-09,0,0,0,0
2026-08-10,0,0,0,0
2026-08-11,0,0,0,0
2026-08-12,0,0,0,0
2026-08-13,0,0,0,0
2026-08-14,0,0,0,0
2026-08-15,0,0,0,0
2026-08-16,0,0,0,0
2026-08-17,0,0,0,0
2026-08-18,0,0,0,0
2026-08-19,0,0,0,0
2026-08-20,0,0,0,0
2026-08-21,0,0,0,0
2026-08-22,0,0,0,0
2026-08-23,0,0,0,0
2026-08-24,0,0,0,0
2026-08-25,0,0,0,0
2026-08-26,0,0,0,0
2026-08-27,0,0,0,0
2026-08-28,0,0,0,0
2026-08-29,0,0,0,0
2026-08-30,0,0,0,0
2026-08-31,0,0,0,0
2026-09-01,0,0,0,0
2026-09-02,0,0,0,0
2026-09-03,0,0,0,0
2026-09-04,0,0,0,0
2026-09-05,0,0,0,0
2026-09-06,0,0,0,0
2026-09-07,0,0,0,0
2026-09-08,5,0,5,471.0
2026-09-09,8,0,8,957.0
2026-09-10,5,0,5,744.0
2026-09-11,1,0,1,265.0
2026-09-12,2,1,3,439.81
2026-09-13,3,0,3,541.0
2026-09-14,5,2,7,1064.58
2026-09-15,4,0,4,578.0
2026-09-16,2,0,2,219.0
2026-09-17,0,1,1,47.87
2026-09-18,5,0,5,705.0
2026-09-19,3,1,4,609.87
2026-09-20,0,3,3,831.83
