day_fiji,FTT_nontest,FTT_nontest_dedup,FD_nontest,FD_nontest_dedup,NOREF_nontest
2026-09-01,0,0,0,0,1
2026-09-02,0,0,3,3,3
2026-09-03,0,0,3,3,0
2026-09-04,0,0,1,1,0
2026-09-05,0,0,0,0,0
2026-09-06,0,0,2,2,0
2026-09-07,0,0,5,4,0
2026-09-08,5,5,1,1,0
2026-09-09,9,8,1,1,0
2026-09-10,6,5,4,4,0
2026-09-11,1,1,1,1,0
2026-09-12,2,2,1,1,0
2026-09-13,4,3,0,0,0
2026-09-14,5,5,2,2,0
2026-09-15,4,4,2,2,0
2026-09-16,2,2,1,1,0
2026-09-17,0,0,4,4,0
2026-09-18,5,5,0,0,0
2026-09-19,3,3,2,2,0
2026-09-20,0,0,3,3,0
