pickup_date,NadiAirportTransfers_onsite,FijiDash,unattributed
2026-09-18,4,3,0
2026-09-19,1,2,0
2026-09-20,5,1,0
2026-09-21,0,1,0
2026-09-22,1,1,0
2026-09-23,1,0,0
2026-09-24,3,1,1
2026-09-26,0,0,1
2026-09-27,1,2,0
2026-09-28,1,2,0
2026-09-30,1,0,0
2026-10-01,2,0,0
2026-10-02,1,0,0
2026-10-03,1,3,0
2026-10-04,0,1,0
2026-10-07,1,0,0
2026-10-10,1,1,0
2026-10-11,1,1,0
2026-10-12,1,0,0
2026-10-14,1,0,0
2026-10-23,0,1,0
2026-10-24,1,0,0
2026-11-01,0,1,0
2026-11-15,0,1,0
2026-11-23,0,1,0
2026-11-28,1,0,0
2026-12-11,0,1,0
2026-12-21,0,0,1
