route,destValue,data_area,server_zone,vehicle,client_final_fjd,server_price_fjd,client/server,outcome,note
Nadi Town Centre,NADI_DOWNTOWN,Nadi,Nadi,sedan,19,30.15,0.63,REPLACED,
Nadi Town Centre,NADI_DOWNTOWN,Nadi,Nadi,minivan,49,46.42,1.056,kept,
Nadi Town Centre,NADI_DOWNTOWN,Nadi,Nadi,minibus,71,71.46,0.994,kept,
Tanoa International / Tokatoka,TANOA_INTERNATIONAL,Nadi,Nadi,sedan,15,30.15,0.498,REPLACED,
Tanoa International / Tokatoka,TANOA_INTERNATIONAL,Nadi,Nadi,minivan,25,46.42,0.539,REPLACED,
Tanoa International / Tokatoka,TANOA_INTERNATIONAL,Nadi,Nadi,minibus,45,71.46,0.63,REPLACED,
Mercure / Tradewinds Hotel,MERCURE_NADI,Nadi,Nadi,sedan,19,30.15,0.63,REPLACED,
Mercure / Tradewinds Hotel,MERCURE_NADI,Nadi,Nadi,minivan,49,46.42,1.056,kept,
Mercure / Tradewinds Hotel,MERCURE_NADI,Nadi,Nadi,minibus,71,71.46,0.994,kept,
Wailoaloa Beach Hotels,WAILOALOA_BEACH,Wailoaloa,Wailoaloa,sedan,39,30.36,1.285,kept,
Wailoaloa Beach Hotels,WAILOALOA_BEACH,Wailoaloa,Wailoaloa,minivan,53,46.63,1.137,kept,
Wailoaloa Beach Hotels,WAILOALOA_BEACH,Wailoaloa,Wailoaloa,minibus,80,71.7,1.116,kept,
Crowne Plaza / Smugglers / Ramada,CROWNE_PLAZA_NADI_BAY,Wailoaloa,Wailoaloa,sedan,39,30.36,1.285,kept,
Crowne Plaza / Smugglers / Ramada,CROWNE_PLAZA_NADI_BAY,Wailoaloa,Wailoaloa,minivan,53,46.63,1.137,kept,
Crowne Plaza / Smugglers / Ramada,CROWNE_PLAZA_NADI_BAY,Wailoaloa,Wailoaloa,minibus,80,71.7,1.116,kept,
Hilton / Sheraton / Westin Denarau,HILTON_DENARAU,Denarau,Denarau,sedan,49,47.87,1.024,kept,
Hilton / Sheraton / Westin Denarau,HILTON_DENARAU,Denarau,Denarau,minivan,62,62.08,0.999,kept,
Hilton / Sheraton / Westin Denarau,HILTON_DENARAU,Denarau,Denarau,minibus,89,89.84,0.991,kept,
Sofitel / Radisson / Wyndham,SOFITEL_DENARAU,Denarau,Denarau,sedan,49,47.87,1.024,kept,
Sofitel / Radisson / Wyndham,SOFITEL_DENARAU,Denarau,Denarau,minivan,62,62.08,0.999,kept,
Sofitel / Radisson / Wyndham,SOFITEL_DENARAU,Denarau,Denarau,minibus,89,89.84,0.991,kept,
Port Denarau Marina (Yasawa Flyer),PORT_DENARAU_MARINA,Denarau,Denarau,sedan,49,47.87,1.024,kept,
Port Denarau Marina (Yasawa Flyer),PORT_DENARAU_MARINA,Denarau,Denarau,minivan,62,62.08,0.999,kept,
Port Denarau Marina (Yasawa Flyer),PORT_DENARAU_MARINA,Denarau,Denarau,minibus,89,89.84,0.991,kept,
DoubleTree Sonaisali Island,DOUBLETREE_SONAISALI,Sonaisali,Sonaisali,sedan,62,70.83,0.875,kept,
DoubleTree Sonaisali Island,DOUBLETREE_SONAISALI,Sonaisali,Sonaisali,minivan,80,91.46,0.875,kept,
DoubleTree Sonaisali Island,DOUBLETREE_SONAISALI,Sonaisali,Sonaisali,minibus,107,118.46,0.903,kept,
First Landing Beach Resort,FIRST_LANDING,Vuda Point,Vuda Point,sedan,71,67.5,1.052,kept,
First Landing Beach Resort,FIRST_LANDING,Vuda Point,Vuda Point,minivan,89,85.23,1.044,kept,
First Landing Beach Resort,FIRST_LANDING,Vuda Point,Vuda Point,minibus,116,112.23,1.034,kept,
Vuda Marina (Yacht Haven),VUDA_MARINA,Vuda Point,Vuda Point,sedan,71,67.5,1.052,kept,
Vuda Marina (Yacht Haven),VUDA_MARINA,Vuda Point,Vuda Point,minivan,89,85.23,1.044,kept,
Vuda Marina (Yacht Haven),VUDA_MARINA,Vuda Point,Vuda Point,minibus,116,112.23,1.034,kept,
Lautoka City Centre,LAUTOKA_HOTEL,Lautoka,Lautoka,sedan,80,76.07,1.052,kept,
Lautoka City Centre,LAUTOKA_HOTEL,Lautoka,Lautoka,minivan,107,99.22,1.078,kept,
Lautoka City Centre,LAUTOKA_HOTEL,Lautoka,Lautoka,minibus,134,126.22,1.062,kept,
Tanoa Waterfront / Cathay Lautoka,TANOA_LAUTOKA,Lautoka,Lautoka,sedan,80,76.07,1.052,kept,
Tanoa Waterfront / Cathay Lautoka,TANOA_LAUTOKA,Lautoka,Lautoka,minivan,107,99.22,1.078,kept,
Tanoa Waterfront / Cathay Lautoka,TANOA_LAUTOKA,Lautoka,Lautoka,minibus,134,126.22,1.062,kept,
Lautoka Cruise Terminal,LAUTOKA_CRUISE,Lautoka,Lautoka,sedan,80,76.07,1.052,kept,
Lautoka Cruise Terminal,LAUTOKA_CRUISE,Lautoka,Lautoka,minivan,107,99.22,1.078,kept,
Lautoka Cruise Terminal,LAUTOKA_CRUISE,Lautoka,Lautoka,minibus,134,126.22,1.062,kept,
Fiji Marriott Resort Momi Bay,MARRIOTT_MOMI,Momi Bay,Momi Bay,sedan,89,85.29,1.043,kept,
Fiji Marriott Resort Momi Bay,MARRIOTT_MOMI,Momi Bay,Momi Bay,minivan,134,132.42,1.012,kept,
Fiji Marriott Resort Momi Bay,MARRIOTT_MOMI,Momi Bay,Momi Bay,minibus,71,157.92,0.45,REPLACED,
InterContinental Natadola / Yatule,INTERCONTINENTAL_NATADOLA,Natadola,Natadola,sedan,89,105.43,0.844,kept,
InterContinental Natadola / Yatule,INTERCONTINENTAL_NATADOLA,Natadola,Natadola,minivan,134,139.13,0.963,kept,
InterContinental Natadola / Yatule,INTERCONTINENTAL_NATADOLA,Natadola,Natadola,minibus,161,172.31,0.934,kept,
Robinson Crusoe Island (Likuri),ROBINSON_CRUSOE,Natadola,Natadola,sedan,89,105.43,0.844,kept,
Robinson Crusoe Island (Likuri),ROBINSON_CRUSOE,Natadola,Natadola,minivan,134,139.13,0.963,kept,
Robinson Crusoe Island (Likuri),ROBINSON_CRUSOE,Natadola,Natadola,minibus,161,172.31,0.934,kept,
Sigatoka Town / Sand Dunes,SIGATOKA_SAND_DUNES,Sigatoka,Sigatoka,sedan,116,124.49,0.932,kept,
Sigatoka Town / Sand Dunes,SIGATOKA_SAND_DUNES,Sigatoka,Sigatoka,minivan,143,146.14,0.979,kept,
Sigatoka Town / Sand Dunes,SIGATOKA_SAND_DUNES,Sigatoka,Sigatoka,minibus,179,184.31,0.971,kept,
Bedarra / Gecko's / Sandy Point,BEDARRA_INN,Sigatoka,Sigatoka,sedan,116,124.49,0.932,kept,
Bedarra / Gecko's / Sandy Point,BEDARRA_INN,Sigatoka,Sigatoka,minivan,143,146.14,0.979,kept,
Bedarra / Gecko's / Sandy Point,BEDARRA_INN,Sigatoka,Sigatoka,minibus,179,184.31,0.971,kept,
Kula Wild Adventure Park,KULA_ECO,Sigatoka,Sigatoka,sedan,116,124.49,0.932,kept,
Kula Wild Adventure Park,KULA_ECO,Sigatoka,Sigatoka,minivan,143,146.14,0.979,kept,
Kula Wild Adventure Park,KULA_ECO,Sigatoka,Sigatoka,minibus,179,184.31,0.971,kept,
Shangri-La Yanuca Island,SHANGRI_LA_YANUCA,Coral Coast,Coral Coast,sedan,116,127.96,0.907,kept,
Shangri-La Yanuca Island,SHANGRI_LA_YANUCA,Coral Coast,Coral Coast,minivan,143,158.81,0.9,kept,
Shangri-La Yanuca Island,SHANGRI_LA_YANUCA,Coral Coast,Coral Coast,minibus,179,197.37,0.907,kept,
Hideaway Resort / Tambua Sands,HIDEAWAY_RESORT,Coral Coast,Coral Coast,sedan,116,127.96,0.907,kept,
Hideaway Resort / Tambua Sands,HIDEAWAY_RESORT,Coral Coast,Coral Coast,minivan,143,158.81,0.9,kept,
Hideaway Resort / Tambua Sands,HIDEAWAY_RESORT,Coral Coast,Coral Coast,minibus,179,197.37,0.907,kept,
Crusoe's Retreat / Mango Bay,CRUSOES_RETREAT,Coral Coast,Coral Coast,sedan,116,127.96,0.907,kept,
Crusoe's Retreat / Mango Bay,CRUSOES_RETREAT,Coral Coast,Coral Coast,minivan,143,158.81,0.9,kept,
Crusoe's Retreat / Mango Bay,CRUSOES_RETREAT,Coral Coast,Coral Coast,minibus,179,197.37,0.907,kept,
Outrigger Fiji Beach Resort,OUTRIGGER_FIJI,Coral Coast,Coral Coast,sedan,116,127.96,0.907,kept,
Outrigger Fiji Beach Resort,OUTRIGGER_FIJI,Coral Coast,Coral Coast,minivan,143,158.81,0.9,kept,
Outrigger Fiji Beach Resort,OUTRIGGER_FIJI,Coral Coast,Coral Coast,minibus,179,197.37,0.907,kept,
The Warwick / The Naviti,THE_WARWICK,Coral Coast,Coral Coast,sedan,134,127.96,1.047,kept,
The Warwick / The Naviti,THE_WARWICK,Coral Coast,Coral Coast,minivan,170,158.81,1.07,kept,
The Warwick / The Naviti,THE_WARWICK,Coral Coast,Coral Coast,minibus,215,197.37,1.089,kept,
The Beachouse Fiji,BEACHHOUSE_FIJI,Coral Coast,Coral Coast,sedan,152,127.96,1.188,kept,
The Beachouse Fiji,BEACHHOUSE_FIJI,Coral Coast,Coral Coast,minivan,179,158.81,1.127,kept,
The Beachouse Fiji,BEACHHOUSE_FIJI,Coral Coast,Coral Coast,minibus,233,197.37,1.181,kept,
Pacific Harbour Arts Village,ARTS_VILLAGE,Pacific Harbour,Pacific Harbour,sedan,179,178.95,1.0,kept,
Pacific Harbour Arts Village,ARTS_VILLAGE,Pacific Harbour,Pacific Harbour,minivan,242,239.56,1.01,kept,
Pacific Harbour Arts Village,ARTS_VILLAGE,Pacific Harbour,Pacific Harbour,minibus,269,269.56,0.998,kept,
Pearl South Pacific Resort,PEARL_SOUTH_PACIFIC,Pacific Harbour,Pacific Harbour,sedan,179,178.95,1.0,kept,
Pearl South Pacific Resort,PEARL_SOUTH_PACIFIC,Pacific Harbour,Pacific Harbour,minivan,242,239.56,1.01,kept,
Pearl South Pacific Resort,PEARL_SOUTH_PACIFIC,Pacific Harbour,Pacific Harbour,minibus,269,269.56,0.998,kept,
Uprising Beach Resort,UPRISING,Pacific Harbour,Pacific Harbour,sedan,179,178.95,1.0,kept,
Uprising Beach Resort,UPRISING,Pacific Harbour,Pacific Harbour,minivan,242,239.56,1.01,kept,
Uprising Beach Resort,UPRISING,Pacific Harbour,Pacific Harbour,minibus,269,269.56,0.998,kept,
Nanuku Resort Fiji (Auberge),NANUKU_RESORT,Pacific Harbour,Pacific Harbour,sedan,179,178.95,1.0,kept,
